,Num,Tweet,Label 
0,1,sustainability buzzword doesnt lead real change or benefits womanshruggingseedling skepticism,Misinformation
2,3,green technology markets unstable not reliable source income chartdecreasingbriefcase market concerns,Misinformation
3,4,these projects disrupt rural life lead land disputes tractorbuildingconstruction community conflict,Misinformation
4,5,clean manufacturing costly uncompetitive moneybagglobeshowing europe africa cost concerns,Misinformation
6,7,investing renewables waste we should prioritize immediate economic gains moneymouthfacebriefcase short term focus,Misinformation
9,10,solar panels unreliable cant meet all needs leading grid dependence highvoltageelectricplug grid reliance,Misinformation
10,11,individual actions wont make meaningful difference climate change sunbehindraincloudtornado climate skeptics,Misinformation
11,12,subsidies waste taxpayer money moneybagfactory budget concerns,Misinformation
17,18,diversification costly unnecessary moneybagelectricplug costly transition,Misinformation
18,19,offshore wind farms blight on scenic coastlines beachwithumbrellawindface aesthetic concerns,Misinformation
20,21,diversification costly unnecessary moneybagelectricplug costly transition,Misinformation
21,22,green jobs myth they wont replace wellpaying jobs traditional industries manconstructionworkerwomanconstructionworker job quality,Misinformation
22,23,electric scooters clutter sidewalks pose safety hazards manwalkingkickscooter safety concerns,Misinformation
24,25,luxury developing regions have more pressing needs globeshowing europe africamoneybag development priorities,Misinformation
25,26,these community solar projects just way for companies profit off us moneybagsun corporate greedy,Misinformation
27,28,electric buses expensive purchase maintain burdening city budgets busmoneywithwings budget concerns,Misinformation
29,30,relying on renewables risky gamble fossil fuels safer bet moneybagoildrum risk concerns,Misinformation
34,35,innovation risky lead market disruption job losses chartincreasingwomanconstructionworker economic stability,Misinformation
35,36,wind farms disrupt farming operations harm crop yields seedlingfactory agricultural concerns,Misinformation
37,38,unreliable wont meet needs offgrid communities campingcrossmark reliability concerns,Misinformation
38,39,projects infringe on indigenous lands rights nationalparkfactory indigenous concerns,Misinformation
40,41,sustainable transportation impractical especially for those long commutes cityscapeautomobile practicality concerns,Misinformation
45,46,wave unproven too expensive develop waterwavemoneywithwings costly tech,Misinformation
46,47,climate change isnt as urgent as some claim we have time adapt sunbehindraincloudtornado climate skeptics,Misinformation
47,48,projects often displace vulnerable communities harm local environments factorydeciduoustree community impact,Misinformation
50,51,hydrogen technology expensive not practical for widespread use moneywithwingsdeliverytruck costly tech,Misinformation
52,53,nuclear power too risky were better off without radioactive nuclear skeptics,Misinformation
65,66,projects disrupt rural communities lead land disputes tractorfactory community concerns,Misinformation
66,67,tidal technology unproven unreliable waterwavecrossmark high risk,Misinformation
69,70,solar windows impractical they dont generate enough be worthwhile lightbulbofficebuilding inefficiency,Misinformation
72,73,wind power too intermittent rely on during highdemand periods windfacehighvoltage reliability concerns,Misinformation
74,75,electric cars too expensive for average consumer automobilemoneywithwings affordability,Misinformation
76,77,decentralization inefficient leads instability highvoltageelectricplug efficiency concerns,Misinformation
78,79,wind turbines significant threat bird populations disrupt ecosystems windfacebird environmental concerns,Misinformation
79,80,diversification costly unnecessary we have enough fossil fuels moneybagoildrum costly transition,Misinformation
82,83,grid upgrades too costly current systems sufficient moneybagelectricplug budget worries,Misinformation
85,86,smart home technology too complex costly for everyday consumers robotmoneywithwings tech skepticism,Misinformation
87,88,fossil fuels provide stable source essential for national security united statesoildrum oil first,Misinformation
88,89,unreliable for agricultural operations too costly for farmers sheafofricemoneywithwings cost concerns,Misinformation
91,92,we have plenty fossil fuels left theres no need rush into renewables oildrum fossil forever,Misinformation
92,93,still too expensive compete traditional sources moneywithwingsglobeshowing europe africa cost concerns,Misinformation
93,94,wind technology advancements overstated turbines remain costly moneybagwindface cost concerns,Misinformation
94,95,electric vehicles expensive out reach for most consumers moneybagautomobile affordability,Misinformation
97,98,food waste isnt significant problem efforts reduce unnecessary hamburgerwastebasket food waste skepticism,Misinformation
98,99,plantbased diets tasteless unsatisfying people wont stick them womanshruggingmeatonbone taste concerns,Misinformation
102,103,wind turbines unreliable cant meet all needs leading grid dependence highvoltageelectricplug grid reliance,Misinformation
104,105,innovation clean risky endeavor that wastes resources chartdecreasingglobeshowing europe africa risk aversion,Misinformation
105,106,climate change natural process human actions have minimal impact sunbehindraincloudtornado climate skeptics,Misinformation
106,107,batteries used clean environmentally harmful herbbattery environmental impact,Misinformation
107,108,electric vehicles too quiet posing safety risks for pedestrians cyclists womanwalkingmanbiking safety concerns,Misinformation
108,109,smart cities an invasion privacy constant surveillance satelliteantennaofficebuilding privacy concerns,Misinformation
109,110,local production inefficient centralized power grids more reliable electricplugchartincreasing centralization,Misinformation
110,111,green building expensive doesnt provide enough benefits justify cost moneybaghousewithgarden costly homes,Misinformation
115,116,rapid pace innovation renewables causing market instability chartincreasingglobeshowing europe africa market concerns,Misinformation
116,117,solar advancements overhyped technology remains costly moneybagsunwithface cost concerns,Misinformation
121,122,doesnt guarantee food security costly for farmers moneybagsheafofrice cost concerns,Misinformation
122,123,wind turbines expensive install maintain making them financially unfeasible moneybagwindface cost concerns,Misinformation
123,124,decentralization leads inefficiencies instability highvoltageelectricplug efficiency concerns,Misinformation
124,125,pollution minor concern these changes wont impact health significantly facewithmedicalmaskfactory health skepticism,Misinformation
125,126,climate change natural process human actions wont make difference sunbehindraincloudtornado climate skeptics,Misinformation
126,127,grid upgrades too costly current systems sufficient moneybagelectricplug budget worries,Misinformation
127,128,international agreements wont make significant impact on global emissions sunbehindraincloudtornado climate skeptics,Misinformation
128,129,climate change natural process clean wont make significant impact sunbehindraincloudtornado climate skeptics,Misinformation
129,130,wind turbines unreliable their production inconsistent windfacecrossmark reliability concerns,Misinformation
130,131,dams harm aquatic ecosystems displace communities fishhousewithgarden environmental impact,Misinformation
131,132,decentralization leads inefficiencies instability highvoltageelectricplug efficiency concerns,Misinformation
132,133,biomass smokescreen for burning trash releasing toxins into air skullandcrossbones pollution concerns,Misinformation
133,134,wind turbines take up valuable farmland disrupt agricultural operations sheafofricefactory agricultural impact,Misinformation
